,Amount.Requested,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,ho_mort,ho_rent
293,20000.0,11.71,60,4,10.98,5416.67,745-749,10.0,20836.0,0.0,10,1,0
294,3500.0,14.12,36,2,10.19,3750.0,655-659,8.0,9771.0,4.0,10,0,0
295,24000.0,19.99,60,4,3.48,8333.33,690-694,8.0,8224.0,1.0,5,0,1
296,8000.0,14.09,36,4,14.31,3500.0,690-694,7.0,5074.0,2.0,4,0,1
297,12000.0,6.62,36,3,13.88,7125.0,775-779,15.0,20639.0,1.0,5,1,0
298,17600.0,8.9,36,4,16.58,4166.67,750-754,8.0,235.0,1.0,8,1,0
299,5000.0,12.92,36,4,16.29,3333.0,665-669,11.0,14244.0,2.0,2,0,1
300,8000.0,18.67,60,1,5.56,2500.0,660-664,5.0,5770.0,2.0,6,0,1
301,10000.0,9.88,36,4,17.04,4500.0,730-734,8.0,6948.0,2.0,4,1,0
302,16800.0,6.62,36,4,3.87,16083.33,800-804,5.0,13470.0,1.0,8,0,0
303,6500.0,10.38,60,2,6.86,2738.67,755-759,10.0,2345.0,1.0,8,1,0
304,35000.0,7.9,36,2,20.7,12083.33,790-794,10.0,28864.0,0.0,10,1,0
305,9950.0,14.33,36,4,4.19,4800.0,685-689,9.0,5038.0,1.0,5,1,0
306,5000.0,9.91,36,4,28.77,3166.67,750-754,3.0,0.0,1.0,0,0,1
307,10000.0,19.05,60,4,28.39,3726.67,695-699,23.0,10067.0,2.0,5,0,1
308,6000.0,13.11,36,4,19.97,5833.33,685-689,6.0,5523.0,1.0,1,1,0
309,35000.0,7.9,36,4,20.27,12083.33,770-774,15.0,35242.0,0.0,10,1,0
310,5600.0,7.9,36,4,16.54,1916.67,705-709,8.0,3373.0,0.0,5,0,1
311,17000.0,7.9,36,3,6.43,6250.0,795-799,4.0,1352.0,3.0,6,0,1
312,15000.0,12.99,60,4,17.45,5666.67,715-719,13.0,10855.0,0.0,3,0,1
313,3000.0,11.14,36,3,1.7,7750.0,685-689,7.0,874.0,0.0,10,1,0
314,12000.0,17.77,36,3,9.86,3083.33,665-669,10.0,4390.0,0.0,4,0,1
315,25000.0,14.27,36,4,14.59,9000.0,705-709,11.0,22364.0,3.0,7,1,0
316,31075.0,20.49,36,3,26.18,6000.0,660-664,20.0,27221.0,2.0,10,0,0
317,4750.0,14.33,60,4,23.48,1500.0,740-744,11.0,1687.0,3.0,0,0,1
318,6400.0,11.71,36,3,14.88,4166.67,680-684,7.0,15055.0,0.0,1,0,1
319,25000.0,9.91,36,4,15.38,5500.0,730-734,9.0,11395.0,0.0,3,0,1
320,5000.0,6.03,36,1,6.43,12083.33,785-789,10.0,792.0,0.0,5,1,0
321,12000.0,11.99,60,2,4.3,3583.33,755-759,5.0,3942.0,2.0,2,1,0
322,20000.0,19.72,36,4,13.74,7965.0,665-669,18.0,18809.0,1.0,7,1,0
323,10000.0,15.96,36,4,13.09,4416.67,665-669,9.0,23870.0,1.0,10,0,1
324,9750.0,20.49,36,3,10.55,3033.33,660-664,13.0,8688.0,1.0,4,0,1
325,10000.0,14.09,36,4,15.02,6000.0,685-689,13.0,8178.0,0.0,8,1,0
326,3000.0,10.46,36,3,4.34,4350.0,680-684,3.0,8414.0,4.0,10,0,0
327,25000.0,19.72,60,4,1.31,5666.67,700-704,6.0,92.0,0.0,10,1,0
328,5000.0,14.22,36,3,18.73,8583.0,670-674,9.0,8097.0,1.0,1,1,0
329,6500.0,5.79,36,3,22.84,6400.0,730-734,11.0,7435.0,0.0,8,1,0
330,8325.0,15.31,36,4,15.22,2916.67,670-674,13.0,7171.0,0.0,4,0,1
331,20000.0,15.31,60,3,13.94,8333.33,710-714,15.0,22246.0,0.0,10,1,0
332,12000.0,12.12,36,3,20.32,5166.67,710-714,9.0,10054.0,1.0,4,1,0
333,9500.0,10.38,60,3,13.64,5000.0,755-759,10.0,46358.0,0.0,10,1,0
334,12000.0,5.79,60,4,22.13,4166.67,780-784,12.0,14464.0,1.0,10,1,0
335,7200.0,11.49,60,4,16.78,2944.0,715-719,11.0,5459.0,0.0,6,0,1
336,8500.0,10.16,36,3,11.23,6091.83,710-714,18.0,10568.0,0.0,3,1,0
337,17475.0,19.05,60,4,22.95,4583.33,685-689,13.0,15852.0,3.0,10,1,0
338,10000.0,12.12,36,2,13.49,3113.83,690-694,9.0,6634.0,0.0,4,1,0
339,18000.0,22.47,60,3,1.92,4583.33,660-664,6.0,4243.0,3.0,7,0,1
340,4800.0,5.42,36,2,20.17,7466.83,785-789,19.0,13461.0,2.0,4,1,0
341,5000.0,7.9,36,2,16.44,2298.75,720-724,10.0,12346.0,0.0,10,1,0
342,20000.0,12.12,36,3,10.32,3750.0,720-724,6.0,15762.0,0.0,2,0,1
343,12300.0,15.31,36,4,19.26,5000.0,710-714,13.0,4460.0,2.0,10,1,0
344,28000.0,22.78,60,4,10.29,6125.0,675-679,11.0,18101.0,2.0,5,1,0
345,1675.0,11.11,36,4,4.81,2080.0,690-694,4.0,1466.0,0.0,3,0,1
346,7500.0,17.04,36,1,4.92,4000.0,685-689,3.0,8398.0,0.0,7,0,1
347,9200.0,12.61,36,4,15.42,12833.33,675-679,12.0,17391.0,0.0,2,1,0
348,8000.0,15.8,36,3,10.76,4583.33,675-679,13.0,4084.0,3.0,2,1,0
349,5000.0,10.99,36,4,23.25,2000.0,690-694,8.0,8339.0,0.0,0,0,1
350,19125.0,18.25,60,3,15.69,3333.33,690-694,8.0,7858.0,0.0,5,0,0
351,5075.0,5.99,36,4,20.1,5000.0,790-794,9.0,269.0,3.0,3,1,0
352,7000.0,9.62,36,4,22.69,3275.0,710-714,8.0,14075.0,1.0,9,1,0
353,5000.0,12.12,36,4,16.97,6800.0,675-679,16.0,25524.0,0.0,10,1,0
354,35000.0,13.49,60,3,10.63,15583.33,760-764,10.0,9.0,1.0,6,1,0
355,2225.0,14.65,36,3,24.09,3250.0,670-674,9.0,26854.0,1.0,0,1,0
356,4000.0,10.16,36,1,4.58,3168.0,715-719,5.0,6916.0,2.0,0,0,1
357,16000.0,7.9,36,4,2.23,7083.33,740-744,11.0,3076.0,0.0,5,1,0
358,15500.0,17.77,36,4,27.6,3333.33,675-679,10.0,8692.0,0.0,4,0,0
359,16000.0,13.11,60,4,14.88,7916.67,695-699,9.0,22918.0,2.0,10,1,0
360,9000.0,13.06,60,4,5.74,3678.08,710-714,8.0,7556.0,2.0,4,0,1
361,20000.0,16.49,60,2,24.58,6000.0,710-714,14.0,12231.0,3.0,3,1,0
362,20000.0,18.17,60,3,9.72,10000.0,685-689,8.0,106527.0,0.0,10,1,0
363,30000.0,22.78,60,4,24.71,6041.67,690-694,12.0,39144.0,0.0,1,0,1
364,10000.0,10.59,36,4,7.43,3833.33,735-739,3.0,10187.0,0.0,10,0,1
365,14000.0,19.05,36,3,31.02,5000.0,660-664,15.0,12728.0,3.0,7,1,0
366,5000.0,7.43,36,3,1.0,,800-804,,,,0,0,0
367,18000.0,15.31,60,3,22.93,5734.08,710-714,13.0,2819.0,0.0,4,0,1
368,10000.0,6.62,36,4,19.05,5208.33,740-744,8.0,28302.0,0.0,10,1,0
369,25975.0,13.11,60,3,15.51,4583.33,735-739,6.0,3607.0,0.0,9,1,0
370,10350.0,14.09,36,1,20.46,3333.33,690-694,10.0,10841.0,1.0,1,0,1
371,10850.0,17.77,36,4,33.9,2708.33,660-664,7.0,9577.0,0.0,8,0,0
372,4075.0,5.42,36,2,23.41,3750.0,770-774,6.0,34103.0,1.0,6,1,0
373,14500.0,10.75,60,3,14.26,3584.62,755-759,6.0,18555.0,0.0,10,1,0
374,12000.0,10.16,36,4,27.48,5000.0,710-714,12.0,10490.0,0.0,7,1,0
375,1000.0,22.95,36,3,19.78,884.9,665-669,4.0,5561.0,0.0,0,0,1
376,5900.0,13.11,36,4,14.19,3010.0,700-704,8.0,5921.0,0.0,10,1,0
377,9950.0,13.11,36,4,24.21,2500.0,705-709,17.0,16618.0,1.0,10,1,0
378,7200.0,6.03,36,4,17.27,3416.67,790-794,14.0,4838.0,0.0,10,1,0
379,14750.0,16.77,60,4,17.32,2500.0,685-689,8.0,11003.0,1.0,8,1,0
380,5000.0,16.7,36,3,2.67,3000.0,690-694,4.0,2474.0,8.0,1,0,1
381,20000.0,14.91,36,4,19.43,6250.0,715-719,12.0,14308.0,1.0,5,1,0
382,18400.0,19.42,60,4,22.53,7400.0,705-709,14.0,10439.0,2.0,10,1,0
383,7200.0,14.11,36,3,13.62,3583.0,700-704,3.0,1621.0,1.0,1,0,0
384,18000.0,13.99,60,4,2.13,4364.58,725-729,9.0,1721.0,3.0,3,1,0
385,8000.0,12.12,36,4,24.98,3166.67,690-694,10.0,5428.0,0.0,10,0,1
386,4000.0,8.9,36,3,13.16,5166.67,720-724,9.0,7171.0,2.0,3,1,0
387,6000.0,13.11,36,4,18.1,3750.0,690-694,18.0,14468.0,3.0,7,0,1
388,6250.0,10.25,36,4,18.04,2400.0,720-724,5.0,14863.0,0.0,10,1,0
389,5375.0,14.09,36,1,15.05,5416.67,685-689,13.0,4087.0,2.0,1,1,0
390,8875.0,15.31,36,4,14.9,2302.0,665-669,8.0,10008.0,0.0,0,0,1
391,7000.0,10.65,36,4,7.38,3333.33,700-704,7.0,12168.0,0.0,0,0,1
392,12000.0,15.31,36,4,21.83,6416.67,680-684,20.0,11583.0,2.0,2,0,1
393,21250.0,18.75,36,3,26.53,4500.0,670-674,15.0,25287.0,2.0,10,0,0
394,3600.0,19.72,60,1,22.22,3200.0,680-684,13.0,11702.0,0.0,0,1,0
395,12000.0,14.33,36,4,28.2,3333.33,670-674,11.0,10727.0,0.0,10,1,0
396,10050.0,14.33,36,3,16.48,2500.0,690-694,7.0,13337.0,2.0,0,0,1
397,4025.0,8.9,36,3,15.32,5000.0,700-704,12.0,15943.0,0.0,8,1,0
398,5000.0,6.62,36,4,1.2,5000.0,780-784,8.0,531.0,1.0,2,0,1
399,16500.0,11.71,60,3,12.07,2750.0,775-779,11.0,2316.0,1.0,4,1,0
400,10000.0,7.29,36,2,7.94,5833.33,735-739,12.0,3181.0,0.0,8,1,0
401,7500.0,12.29,36,1,21.34,8750.0,685-689,14.0,20947.0,7.0,5,1,0
402,10000.0,6.03,36,4,24.66,2940.25,755-759,8.0,5904.0,0.0,10,1,0
403,10000.0,8.9,36,3,22.66,2083.33,715-719,8.0,12724.0,0.0,9,0,1
404,18000.0,7.9,36,3,18.36,5833.33,730-734,16.0,12522.0,0.0,0,0,1
405,7000.0,16.29,36,3,24.93,3833.33,680-684,20.0,18792.0,3.0,3,1,0
406,22000.0,22.47,60,4,33.93,5083.33,670-674,14.0,31152.0,2.0,10,1,0
407,6000.0,13.11,36,4,12.4,1000.0,685-689,18.0,3622.0,2.0,1,0,1
408,5600.0,6.62,36,2,7.23,5833.33,750-754,8.0,8125.0,1.0,2,1,0
409,9500.0,12.12,36,4,24.06,2519.17,705-709,7.0,8673.0,1.0,10,1,0
410,12000.0,13.11,36,4,17.51,9666.67,680-684,12.0,17226.0,0.0,5,1,0
411,7200.0,10.37,36,4,8.92,4416.67,675-679,10.0,4137.0,0.0,2,1,0
412,5000.0,15.8,36,4,25.53,6612.0,665-669,6.0,14283.0,0.0,10,0,1
413,8250.0,15.96,60,2,15.6,2917.0,695-699,13.0,4479.0,1.0,2,1,0
414,30000.0,22.47,60,4,20.07,7916.67,690-694,9.0,4202.0,3.0,0,1,0
415,10075.0,15.81,60,4,23.8,6583.33,700-704,15.0,13259.0,1.0,1,1,0
416,9050.0,13.11,36,3,20.58,5166.67,700-704,,7571.0,1.0,7,1,0
417,17500.0,10.16,36,3,23.64,3333.33,700-704,10.0,21483.0,0.0,8,1,0
418,10000.0,6.91,36,1,8.83,4166.67,730-734,5.0,6381.0,0.0,1,0,1
419,10000.0,8.9,36,3,20.1,2870.42,715-719,11.0,18802.0,0.0,3,0,1
420,8500.0,15.8,36,4,17.4,2500.0,690-694,6.0,6491.0,1.0,1,0,1
421,16000.0,14.65,36,4,20.15,3666.67,675-679,15.0,6875.0,0.0,4,0,1
422,2350.0,14.09,36,3,11.18,1833.33,725-729,3.0,7463.0,1.0,0,1,0
423,10000.0,7.29,36,2,4.7,6083.33,730-734,10.0,7337.0,1.0,3,0,1
424,25000.0,15.8,60,4,21.18,5458.33,735-739,26.0,27327.0,1.0,6,1,0
425,8000.0,14.33,36,3,27.34,3500.0,685-689,19.0,16395.0,2.0,7,0,1
426,6000.0,13.11,36,3,16.75,4166.67,670-674,9.0,4500.0,0.0,0,1,0
427,4000.0,13.11,36,3,11.8,5416.67,685-689,12.0,6616.0,1.0,1,0,1
428,11500.0,11.14,36,3,18.0,2916.67,715-719,14.0,13851.0,1.0,5,0,1
429,12000.0,9.91,36,2,4.1,12500.0,705-709,9.0,22889.0,0.0,9,0,1
430,15250.0,16.49,60,4,20.57,2916.67,690-694,10.0,17931.0,0.0,0,0,1
431,5000.0,12.68,36,4,9.2,3500.0,695-699,6.0,3555.0,0.0,1,0,1
432,6000.0,7.9,36,2,20.75,3750.0,715-719,12.0,4318.0,0.0,10,0,1
433,18225.0,16.29,60,3,22.61,3166.67,710-714,7.0,12233.0,2.0,4,0,1
434,15000.0,10.38,36,4,16.87,6312.0,735-739,17.0,14339.0,2.0,2,1,0
435,4000.0,5.79,36,4,23.94,4666.67,760-764,7.0,2889.0,2.0,9,0,1
436,27000.0,12.12,60,4,17.82,7083.33,715-719,13.0,25137.0,0.0,8,1,0
437,15000.0,13.85,36,3,5.1,3000.0,705-709,4.0,5936.0,1.0,3,0,1
438,4950.0,10.16,36,3,16.75,1403.33,725-729,4.0,2738.0,1.0,2,0,1
439,21000.0,10.0,36,3,14.08,6250.0,730-734,8.0,21102.0,0.0,2,0,1
440,9000.0,15.31,36,3,15.88,5000.0,675-679,7.0,4532.0,1.0,10,0,1
441,21000.0,18.75,60,4,31.71,9583.33,695-699,19.0,30589.0,1.0,10,1,0
442,8000.0,19.05,36,4,2.83,3333.33,660-664,4.0,2832.0,0.0,0,0,1
443,23000.0,6.91,60,4,12.39,4583.33,760-764,6.0,17695.0,2.0,4,1,0
444,10000.0,14.65,36,4,16.68,8333.33,680-684,18.0,39461.0,2.0,4,1,0
445,5000.0,9.99,60,3,10.8,6400.0,730-734,8.0,5783.0,0.0,0,0,1
446,5350.0,10.16,36,2,16.45,11250.0,730-734,11.0,19184.0,3.0,8,1,0
447,10000.0,12.42,36,3,9.77,3500.0,705-709,9.0,10912.0,1.0,2,0,1
448,24000.0,10.16,36,4,15.53,5416.67,720-724,11.0,17882.0,0.0,10,1,0
449,24000.0,7.9,36,4,13.55,7233.33,705-709,6.0,26039.0,0.0,0,1,0
450,15475.0,14.09,36,4,26.98,3750.0,685-689,14.0,19670.0,0.0,10,1,0
451,25000.0,21.0,36,4,9.52,8333.33,670-674,11.0,8575.0,1.0,10,0,1
452,13000.0,9.91,36,3,15.6,2333.33,730-734,12.0,4487.0,3.0,5,0,1
453,7550.0,7.62,36,2,14.61,2512.0,730-734,7.0,2814.0,0.0,5,1,0
454,9600.0,15.31,36,3,33.24,3166.67,685-689,8.0,14774.0,3.0,2,0,1
455,15000.0,15.21,60,4,14.65,5416.67,700-704,11.0,9171.0,2.0,10,0,1
456,7000.0,14.11,36,4,21.67,4166.67,675-679,7.0,60550.0,3.0,10,0,1
457,1000.0,15.31,36,4,29.45,2166.67,665-669,9.0,1748.0,0.0,6,1,0
458,25000.0,12.87,36,4,18.81,6666.67,720-724,13.0,31890.0,1.0,1,0,1
459,24000.0,14.33,36,3,25.49,11208.33,725-729,23.0,19428.0,2.0,10,1,0
460,21000.0,18.49,60,4,21.73,16416.67,700-704,21.0,62549.0,1.0,1,0,1
461,1000.0,13.11,36,4,30.71,1833.33,670-674,7.0,6283.0,0.0,3,0,1
462,16000.0,9.63,60,3,16.58,5000.0,780-784,6.0,2300.0,0.0,10,0,0
463,24400.0,17.27,60,3,15.98,6000.0,725-729,7.0,13879.0,1.0,3,0,1
464,14675.0,7.9,36,4,17.4,3166.67,720-724,7.0,22549.0,0.0,10,1,0
465,12000.0,19.05,36,3,19.61,4583.33,660-664,8.0,8970.0,0.0,10,1,0
466,8000.0,13.11,36,3,21.35,3541.67,700-704,13.0,6885.0,2.0,0,0,0
467,12000.0,13.11,36,3,8.05,3416.67,685-689,6.0,7708.0,0.0,4,1,0
468,16800.0,10.99,60,4,13.42,5416.67,730-734,10.0,7258.0,3.0,3,1,0
469,14500.0,14.33,36,4,17.97,3500.0,680-684,7.0,10846.0,0.0,6,0,1
470,25000.0,16.63,36,4,18.46,8000.0,680-684,11.0,39502.0,0.0,10,0,1
471,28625.0,13.11,60,4,21.31,4833.33,740-744,9.0,35863.0,0.0,5,1,0
472,21000.0,22.95,60,2,6.52,20833.33,670-674,5.0,1240.0,3.0,10,1,0
473,7500.0,9.76,60,3,14.96,7083.33,780-784,11.0,16449.0,1.0,10,1,0
474,11875.0,10.38,36,4,22.52,6000.0,730-734,11.0,28210.0,2.0,10,1,0
475,3600.0,13.67,36,3,16.41,5113.0,690-694,10.0,715.0,1.0,0,1,0
476,16000.0,15.31,36,4,20.1,5924.5,695-699,11.0,9365.0,1.0,10,0,1
477,20500.0,23.28,60,4,24.85,4333.33,660-664,13.0,4699.0,0.0,5,0,1
478,10000.0,18.25,36,3,24.14,6250.0,665-669,9.0,22828.0,0.0,1,0,1
479,15000.0,17.49,60,4,11.22,3333.33,695-699,4.0,6147.0,2.0,0,0,1
480,10000.0,11.99,36,3,21.89,3417.0,680-684,13.0,18069.0,0.0,4,1,0
481,11000.0,11.71,36,4,7.8,3820.27,685-689,7.0,6844.0,0.0,2,0,0
482,25000.0,19.05,60,3,28.46,5833.33,690-694,20.0,33127.0,0.0,1,0,1
483,15000.0,10.16,36,4,26.75,7666.67,675-679,16.0,71879.0,1.0,5,1,0
484,5600.0,14.09,36,4,26.35,3833.33,665-669,19.0,16163.0,0.0,5,0,1
485,20000.0,11.71,36,4,15.2,4583.33,720-724,15.0,16575.0,2.0,5,0,1
486,25450.0,19.72,60,3,33.75,4750.0,665-669,20.0,14435.0,1.0,10,0,0
487,7000.0,11.12,36,4,9.06,6333.33,715-719,6.0,349.0,0.0,10,0,1
488,10400.0,12.12,36,3,18.92,3333.33,690-694,11.0,11964.0,0.0,10,0,1
489,25000.0,14.84,36,3,15.88,7250.0,705-709,6.0,10770.0,2.0,10,0,1
490,20000.0,11.97,36,3,18.96,7501.0,705-709,17.0,17212.0,7.0,1,1,0
491,16000.0,17.43,60,3,13.07,4583.33,675-679,7.0,5729.0,0.0,10,1,0
492,15000.0,7.9,36,1,22.39,7500.0,725-729,10.0,18756.0,0.0,10,1,0
493,24625.0,19.72,60,4,20.96,5166.67,675-679,14.0,20694.0,0.0,8,0,1
494,21850.0,13.11,36,3,28.08,4166.67,690-694,12.0,20497.0,0.0,0,0,1
495,6000.0,15.31,36,4,15.68,7500.0,670-674,10.0,5263.0,1.0,3,1,0
496,6700.0,16.0,36,4,21.53,4700.0,725-729,11.0,9007.0,9.0,2,1,0
497,10000.0,12.21,36,4,10.45,7667.0,700-704,9.0,17328.0,0.0,2,0,1
498,5775.0,15.31,36,4,4.08,5000.0,670-674,8.0,10088.0,2.0,10,0,1
499,14475.0,15.27,36,3,23.69,4166.67,680-684,12.0,13294.0,1.0,3,0,1
500,8000.0,17.27,36,4,27.88,2833.33,670-674,10.0,9926.0,3.0,6,0,1
501,15000.0,12.12,36,4,14.22,5416.67,700-704,10.0,9237.0,0.0,0,1,0
502,10000.0,17.77,36,4,12.41,4166.67,680-684,6.0,31212.0,0.0,8,1,0
503,5600.0,13.49,36,4,18.33,2870.33,690-694,6.0,5033.0,2.0,5,0,1
504,10000.0,16.32,60,2,14.8,2290.0,685-689,5.0,394.0,2.0,0,0,1
505,13000.0,14.09,36,4,32.64,5000.0,675-679,8.0,15208.0,0.0,10,1,0
506,15000.0,9.99,60,4,11.95,1958.33,745-749,8.0,3584.0,1.0,2,1,0
507,2100.0,12.12,36,3,25.77,2555.16,680-684,8.0,21190.0,0.0,10,0,1
508,12000.0,12.12,36,4,20.48,7666.67,685-689,10.0,5832.0,0.0,2,1,0
509,1000.0,13.16,36,3,19.63,3500.0,670-674,9.0,11189.0,2.0,2,0,1
510,16000.0,14.09,60,3,7.78,4166.67,735-739,6.0,4240.0,3.0,2,0,1
511,14000.0,7.9,36,3,21.69,3162.25,730-734,12.0,13579.0,0.0,9,0,1
512,14000.0,10.16,36,4,13.44,7916.67,690-694,16.0,19621.0,0.0,0,0,1
513,20000.0,12.21,36,4,14.63,6000.0,725-729,8.0,28585.0,0.0,10,0,1
514,17000.0,11.14,36,4,6.65,6333.33,760-764,7.0,6542.0,1.0,7,1,0
515,7350.0,10.74,60,4,29.82,5000.0,745-749,15.0,15093.0,1.0,4,1,0
516,10000.0,10.25,36,1,12.93,4841.67,775-779,4.0,0.0,1.0,4,0,1
517,20000.0,11.36,36,4,8.34,15416.67,710-714,10.0,46501.0,0.0,10,1,0
518,7000.0,7.14,36,3,5.44,3807.64,760-764,7.0,7196.0,0.0,5,1,0
519,6000.0,12.12,60,3,9.31,9583.33,715-719,12.0,27756.0,0.0,2,0,1
520,12000.0,10.0,36,4,12.32,5000.0,715-719,6.0,4515.0,1.0,7,1,0
521,4225.0,6.03,36,3,14.52,2583.33,750-754,17.0,3907.0,0.0,4,1,0
522,14700.0,12.29,36,4,21.94,3100.0,700-704,14.0,14694.0,2.0,8,0,1
523,2500.0,6.76,36,4,6.99,4750.0,755-759,15.0,4658.0,2.0,4,1,0
524,4800.0,14.84,36,4,0.0,2500.0,670-674,4.0,0.0,0.0,2,0,1
525,6000.0,15.96,36,3,22.1,5583.33,665-669,9.0,36748.0,3.0,5,0,1
526,6000.0,6.03,36,3,5.65,7083.33,750-754,15.0,5747.0,0.0,4,1,0
527,1800.0,15.31,36,3,6.79,6416.67,670-674,6.0,3394.0,2.0,7,1,0
528,7200.0,15.8,36,4,25.32,3333.33,675-679,13.0,8903.0,1.0,6,1,0
529,6000.0,12.12,36,2,23.89,8000.0,680-684,8.0,16139.0,0.0,2,1,0
530,15300.0,11.14,36,4,11.31,6833.33,670-674,11.0,7106.0,2.0,10,1,0
531,5000.0,9.32,36,2,3.89,2083.33,775-779,4.0,3901.0,2.0,4,1,0
532,10500.0,17.77,36,3,12.33,4583.33,665-669,9.0,18936.0,1.0,5,1,0
533,6625.0,17.77,36,4,11.68,10268.25,660-664,9.0,3563.0,0.0,2,0,1
534,16000.0,22.47,60,3,11.27,4791.67,665-669,5.0,8474.0,0.0,2,0,1
535,22000.0,16.29,60,4,26.33,4166.67,675-679,10.0,25245.0,0.0,5,0,1
536,5000.0,15.21,60,3,10.38,6833.33,680-684,11.0,5045.0,1.0,8,0,1
537,20000.0,8.9,36,3,10.79,12083.33,680-684,8.0,25672.0,0.0,1,0,1
538,1500.0,13.06,36,1,20.82,7083.33,670-674,8.0,4665.0,1.0,6,1,0
539,8000.0,7.49,36,1,2.86,5666.67,730-734,7.0,5964.0,0.0,10,1,0
540,18225.0,16.29,60,4,32.19,7166.67,705-709,19.0,29219.0,2.0,4,1,0
541,5000.0,7.62,36,4,8.43,2916.67,740-744,6.0,12444.0,1.0,10,1,0
542,10000.0,13.99,36,4,10.73,2629.0,685-689,5.0,10029.0,0.0,0,0,1
543,8000.0,17.77,36,3,28.56,2083.33,670-674,4.0,9059.0,0.0,6,0,1
544,6000.0,10.75,36,4,12.05,6000.0,720-724,14.0,25090.0,4.0,10,0,1
545,24250.0,18.62,60,4,22.74,5000.0,685-689,13.0,14392.0,1.0,2,0,1
546,8700.0,12.69,36,2,5.02,14166.67,675-679,11.0,19036.0,0.0,0,0,1
547,20400.0,14.65,60,4,10.38,6733.33,725-729,8.0,11149.0,2.0,6,0,1
548,9000.0,6.62,36,3,16.14,3333.33,740-744,10.0,8689.0,0.0,6,0,1
549,16100.0,11.14,36,4,25.36,6250.0,715-719,14.0,9737.0,0.0,10,1,0
550,35000.0,21.0,36,4,11.05,7702.0,670-674,8.0,11346.0,0.0,10,1,0
551,4600.0,7.66,36,4,9.14,6500.0,700-704,9.0,12942.0,0.0,7,1,0
552,14400.0,14.18,36,3,23.04,4583.33,685-689,13.0,17568.0,4.0,10,1,0
553,5000.0,11.14,36,3,13.61,3333.33,685-689,10.0,8436.0,0.0,0,0,1
554,5500.0,19.05,36,2,2.33,7500.0,660-664,3.0,2530.0,1.0,7,0,0
555,25000.0,13.98,60,4,20.23,5416.67,720-724,13.0,21168.0,2.0,10,1,0
556,5000.0,14.09,36,4,11.18,10625.0,670-674,8.0,8054.0,0.0,1,0,1
557,10000.0,14.65,36,4,12.04,2791.67,710-714,6.0,12139.0,1.0,3,0,1
558,20000.0,11.89,36,2,2.89,5050.0,740-744,6.0,6863.0,4.0,10,1,0
559,10000.0,17.14,36,4,9.59,1658.0,680-684,3.0,4902.0,0.0,0,0,1
560,17000.0,9.76,36,4,23.6,5416.67,740-744,16.0,5992.0,4.0,10,0,1
561,25000.0,22.47,60,3,23.62,5000.0,665-669,16.0,25348.0,1.0,3,1,0
562,5000.0,7.9,36,4,7.28,8666.67,710-714,9.0,4572.0,0.0,1,0,1
563,6000.0,13.11,36,3,21.34,5416.67,685-689,19.0,15107.0,2.0,10,1,0
564,8000.0,17.27,36,3,7.32,5833.33,670-674,8.0,5350.0,2.0,4,0,1
565,12000.0,14.09,36,2,15.33,8666.67,695-699,10.0,9624.0,1.0,1,0,1
566,3000.0,8.94,36,3,13.42,4500.0,720-724,9.0,2541.0,2.0,0,0,1
567,5000.0,6.17,60,1,11.52,1667.0,770-774,6.0,1108.0,0.0,3,0,1
568,3200.0,10.16,36,4,16.17,3750.0,705-709,9.0,4283.0,1.0,6,1,0
569,7625.0,18.49,36,3,15.79,3166.67,670-674,4.0,8030.0,0.0,5,0,1
570,3000.0,22.11,60,3,0.0,1471.0,690-694,3.0,,0.0,6,0,0
571,5000.0,11.49,36,2,6.62,3125.0,730-734,4.0,7187.0,1.0,1,1,0
572,18500.0,12.99,36,4,7.96,5000.0,685-689,6.0,13490.0,0.0,10,0,1
573,18000.0,14.09,36,4,15.45,4000.0,690-694,11.0,13877.0,0.0,5,1,0
574,4200.0,10.59,36,1,11.53,3000.0,695-699,11.0,10067.0,0.0,7,0,1
575,5000.0,7.29,36,2,2.33,5416.67,725-729,8.0,2937.0,1.0,10,1,0
576,19000.0,11.71,60,3,13.79,4791.67,730-734,9.0,16348.0,0.0,5,1,0
577,15000.0,16.77,36,4,7.29,7916.67,675-679,5.0,5355.0,1.0,6,0,1
578,18625.0,19.72,60,3,22.98,4000.0,680-684,15.0,26050.0,2.0,9,0,1
579,6075.0,7.62,36,4,28.25,1083.33,720-724,8.0,11539.0,0.0,0,0,1
580,12500.0,15.31,36,4,17.67,3916.67,690-694,7.0,8221.0,3.0,10,1,0
581,5000.0,15.31,36,4,4.91,7083.33,665-669,12.0,8225.0,1.0,5,0,1
582,10000.0,12.12,36,3,23.06,3083.33,690-694,14.0,13638.0,0.0,3,0,1
583,8000.0,16.77,36,3,20.99,3750.0,660-664,6.0,4010.0,0.0,5,0,1
584,20000.0,15.81,36,4,21.42,5000.0,680-684,12.0,24352.0,1.0,0,0,1
585,9600.0,13.49,36,3,15.04,4250.0,685-689,17.0,7713.0,1.0,1,0,1
586,3600.0,9.76,36,3,11.34,2108.33,695-699,14.0,4467.0,0.0,0,0,1
587,14075.0,18.75,36,3,12.96,3033.33,690-694,6.0,13036.0,0.0,8,0,1
